playerName,team,gamesPlayed,plateApp,atBats,hits,homeRuns
Jake Burger,MIA,19,76,69,14,3
Alec Burleson,STL,30,93,88,23,3
Michael Busch,CHC,36,139,125,32,7
Lawrence Butler,OAK,37,105,92,16,2
Byron Buxton,MIN,28,100,92,23,1
José Caballero,TBR,34,131,118,30,2
Trey Cabbage,HOU,5,8,8,2,0
Oswaldo Cabrera#,NYY,35,130,121,31,4
Willie Calhoun,LAA,7,28,25,7,0
Alex Call,WSN,7,21,16,5,0
Jair Camargo,MIN,2,5,4,0,0
Isaiah Campbell,BOS,2,0,0,0,0
Luis Campusano,SDP,34,124,117,32,2
Alexander Canario,CHC,13,25,22,6,1
Jeimer Candelario#,CIN,31,124,111,24,4
Mark Canha,DET,34,139,117,29,5
Dominic Canzone,SEA,14,35,32,7,3
Victor Caratini#,HOU,17,49,46,11,2
Dylan Carlson#,STL,4,12,11,0,0
Kerry Carpenter,DET,36,117,104,28,3
Matt Carpenter,STL,3,11,10,3,0
Corbin Carroll,ARI,36,160,141,29,2
Evan Carter,TEX,36,141,124,27,5
Triston Casas,BOS,22,90,78,19,6
Nick Castellanos,PHI,38,152,140,29,2
Willi Castro#,MIN,37,138,125,34,3
Jake Cave,COL,23,38,34,7,0
Matt Chapman,SFG,38,157,147,31,4
Jazz Chisholm Jr.,MIA,38,156,140,33,5
Jackson Chourio,MIL,33,122,113,25,4
Jonatan Clase#,SEA,9,28,27,6,0
Kody Clemens,PHI,4,11,11,4,2
Ernie Clement,TOR,28,65,59,16,2
Oscar Colás,CHW,1,1,1,0,0
Michael Conforto,SFG,36,149,138,38,7
William Contreras,MIL,37,169,147,50,5
Willson Contreras,STL,31,128,107,30,6
Garrett Cooper,TOT,18,64,57,12,1
Garrett Cooper,CHC,12,41,37,10,1
Garrett Cooper,BOS,6,23,20,2,0
Carlos Correa,MIN,20,82,69,18,2
Danny Coulombe,BAL,1,0,0,0,0
Colton Cowser,BAL,34,107,94,26,6
Brandon Crawford,STL,8,25,22,2,0
J.P. Crawford,SEA,22,98,86,17,2
Jake Cronenworth,SDP,37,165,144,42,6
Pete Crow-Armstrong,CHC,15,46,41,9,1
Oneil Cruz,PIT,37,144,135,34,5
Travis d'Arnaud,ATL,30,94,83,22,5
Bobby Dalbec,BOS,22,59,53,7,0
Henry Davis,PIT,23,83,68,11,0
J.D. Davis,OAK,20,77,72,16,2
Bryan De La Cruz,MIA,39,168,156,42,8
Elly De La Cruz#,CIN,37,150,129,34,8
Paul DeJong,CHW,33,106,100,24,5
Jason Delay,PIT,1,5,3,0,0
Jonny DeLuca,TBR,6,23,20,7,1
Rafael Devers,BOS,26,116,97,28,4
Elias Díaz,COL,33,131,119,37,3
Yainer Diaz,HOU,35,141,132,36,3
Yandy Díaz,TBR,37,163,149,34,1
Brendan Donovan,STL,36,163,143,31,4
Brenton Doyle,COL,36,144,134,37,4
Brandon Drury,LAA,30,113,104,18,1
Mauricio Dubón,HOU,29,85,81,23,1
Oliver Dunn,MIL,30,83,77,17,1
Ezequiel Duran,TEX,24,67,61,16,0
Jarren Duran,BOS,37,172,154,41,1
Adam Duvall,ATL,20,59,51,11,2
Christian Encarnacion-Strand,CIN,29,123,116,22,2
Santiago Espinal,CIN,28,93,80,13,1
Thairo Estrada,SFG,38,148,141,35,5
Stuart Fairchild,CIN,27,77,70,13,1
Kyle Farmer,MIN,31,75,64,10,0
Freddy Fermin,KCR,20,63,58,14,1
José Fermín,STL,8,14,11,3,0
Ryan Fernandez,STL,1,0,0,0,0
Tyler Fitzgerald,SFG,18,44,41,11,1
David Fletcher,ATL,5,9,8,2,0
Dominic Fletcher,CHW,20,66,59,12,0
Wilmer Flores,SFG,33,107,93,19,1
Estevan Florial,CLE,25,81,73,14,3
Jason Foley,DET,1,0,0,0,0
Mike Ford,CIN,2,5,5,1,0
Nick Fortes,MIA,28,74,70,9,1
Justin Foscue,TEX,2,2,2,1,0
Jake Fraley,CIN,25,80,72,21,1
Ty France,SEA,34,133,121,29,2
Adam Frazier,KCR,30,90,77,13,0
Kyle Freeland,COL,1,0,0,0,0
Freddie Freeman,LAD,39,174,143,43,3
Tyler Freeman,CLE,33,122,105,20,3
Sal Frelick,MIL,35,142,127,31,0
Luis Frías,ARI,1,0,0,0,0
TJ Friedl,CIN,3,13,13,3,0
David Fry,CLE,24,77,61,19,2
Joey Gallo,WSN,23,91,74,9,3
Adolis García,TEX,38,159,142,38,8
Avisaíl García,MIA,18,51,50,12,2
Luis García Jr.,WSN,31,115,106,34,3
Maikel Garcia,KCR,38,170,154,38,4
Mitch Garver,SEA,32,128,108,19,4
Zack Gelof,OAK,24,101,92,18,3
Andrés Giménez,CLE,36,159,141,35,1
Kevin Ginkel,ARI,1,0,0,0,0
Paul Goldschmidt,STL,35,152,133,26,2
Yan Gomes,CHC,19,55,55,11,2
Romy Gonzalez,BOS,3,9,8,2,0
Hunter Goodman,COL,6,18,15,1,1
Niko Goodrum#,TBR,9,18,16,3,0
Nick Gordon,MIA,34,96,91,18,5
Nolan Gorman,STL,33,129,116,20,4
Yasmani Grandal#,PIT,3,10,9,1,0
Chad Green,TOR,1,0,0,0,0
Riley Greene,DET,37,161,134,34,9
Randal Grichuk,ARI,20,55,49,13,1
Trent Grisham,NYY,15,34,28,2,1
Vaughn Grissom,BOS,4,17,17,2,0
Robbie Grossman#,TOT,26,87,73,15,0
Robbie Grossman#,CHW,25,85,71,15,0
Robbie Grossman#,TEX,1,2,2,0,0
Vladimir Guerrero Jr.,TOR,37,163,142,35,4
Luis Guillorme,TOT,10,25,23,4,0
Luis Guillorme,LAA,1,4,3,1,0
Luis Guillorme,ATL,9,21,20,3,0
Lourdes Gurriel Jr.,ARI,34,154,146,34,5
Sam Haggerty#,SEA,6,10,9,0,0
David Hamilton,BOS,16,47,42,9,1
Garrett Hampson,KCR,29,43,41,11,0
Mitch Haniger,SEA,35,139,127,27,5
Ian Happ#,CHC,35,153,129,29,1
Bryce Harper,PHI,34,148,122,32,9
Brett Harris,OAK,7,31,24,4,3
Michael Harris II,ATL,34,144,137,35,3
Ke'Bryan Hayes,PIT,34,149,129,31,1
Austin Hays,BAL,19,50,45,5,0
Jonathan Heasley,BAL,1,0,0,0,0
Austin Hedges,CLE,11,33,32,5,1
Jonah Heim#,TEX,33,129,120,36,4
Tyler Heineman#,BOS,1,2,1,0,0
Ryan Helsley,STL,1,0,0,0,0
Gunnar Henderson,BAL,36,163,144,39,11
Darell Hernaiz,OAK,29,75,66,12,0
Enrique Hernández,LAD,28,84,76,16,1
Teoscar Hernández,LAD,39,163,147,39,10
Iván Herrera,STL,24,76,69,16,3
Jason Heyward,LAD,4,15,14,3,0
Aaron Hicks#,LAA,18,63,57,8,1
Kyle Higashioka,SDP,11,31,31,6,1
Nico Hoerner,CHC,37,161,143,39,1
Jackson Holliday,BAL,10,36,34,2,0
Rhys Hoskins,MIL,34,143,123,27,8
Sam Huff,TEX,1,0,0,0,0
Andy Ibáñez,DET,15,41,38,13,2
Jonathan India,CIN,32,138,117,25,2
Kyle Isbel,KCR,34,112,106,23,3
Alex Jackson,TBR,4,10,8,1,0
Travis Jankowski,TEX,23,44,41,11,1
Danny Jansen,TOR,15,52,45,14,3
Kenley Jansen#,BOS,1,0,0,0,0
Bryce Jarvis,ARI,2,0,0,0,0
Ryan Jeffers,MIN,33,131,111,34,8
Eloy Jiménez,CHW,25,103,95,21,4
Connor Joe,PIT,33,124,111,32,3
Jahmai Jones,NYY,10,6,6,1,0
Nolan Jones,COL,26,103,94,16,1
Aaron Judge,NYY,39,175,144,34,9
Edouard Julien,MIN,37,138,117,24,7
Josh Jung,TEX,4,19,17,7,2
Colt Keith,DET,32,116,105,17,0
Jarred Kelenic,ATL,28,83,77,22,1
Carson Kelly,DET,23,63,57,10,1
Tony Kemp,BAL,5,10,9,0,0
Buddy Kennedy,DET,6,13,10,2,1
Max Kepler,MIN,21,82,73,24,3
Grae Kessinger,HOU,7,10,10,0,0
Kevin Kiermaier,TOR,25,73,67,15,1
Ha-Seong Kim,SDP,40,166,142,30,5
Craig Kimbrel,BAL,1,0,0,0,0
Isiah Kiner-Falefa,TOR,36,109,100,26,1
Alex Kirilloff,MIN,33,112,101,22,2
Alejandro Kirk,TOR,23,85,73,15,1
Heston Kjerstad,BAL,6,14,11,2,0
Andrew Knizner,TEX,16,37,36,5,1
Steven Kwan,CLE,32,145,133,47,3
Shea Langeliers,OAK,34,127,115,24,9
Wyatt Langford,TEX,31,129,116,26,1
Trevor Larnach,MIN,17,61,55,19,3
Ramón Laureano,CLE,25,74,61,9,1
Justin Lawrence,COL,1,0,0,0,0
José Leclerc,TEX,1,0,0,0,0
Jung Hoo Lee,SFG,36,158,145,38,2
Korey Lee,CHW,25,70,66,18,3
Royce Lewis,MIN,1,2,2,2,1
Francisco Lindor#,NYM,36,159,142,30,6
Trey Lipscomb,WSN,27,102,90,22,1
Nick Loftin,KCR,13,35,29,8,0
Joey Loperfido,HOU,7,21,19,6,0
Nicky Lopez,CHW,31,117,102,21,0
Otto Lopez,MIA,13,22,21,6,1
Brandon Lowe,TBR,8,30,27,5,1
Josh Lowe,TBR,3,10,10,3,0
Nathaniel Lowe,TEX,18,80,67,22,1
Gavin Lux,LAD,27,97,89,17,1
Manny Machado,SDP,35,150,140,35,5
Nick Madrigal,CHC,33,49,46,10,0
Luke Maile,CIN,20,58,51,7,1
Martín Maldonado,CHW,23,69,63,6,1
Joe Mantiply,ARI,1,0,0,0,0
Kyle Manzardo,CLE,4,12,12,2,0
Manuel Margot,MIN,32,79,71,12,1
Brandon Marsh,PHI,35,128,118,30,6
Ketel Marte#,ARI,38,169,151,45,7
Starling Marte,NYM,32,145,134,36,4
Austin Martin,MIN,26,76,69,16,1
Chris Martin,BOS,1,0,0,0,0
J.D. Martinez,NYM,12,41,37,11,0
Justin Martinez,ARI,1,0,0,0,0
Nick Martini,CIN,29,86,79,14,3
Michael Massey,KCR,18,66,62,16,3
Miles Mastrobuoni,CHC,9,15,14,0,0
Jorge Mateo,BAL,23,64,57,14,2
Luis Matos,SFG,1,4,4,0,0
James McArthur,KCR,1,0,0,0,0
James McCann,BAL,16,58,58,13,1
Kyle McCann,OAK,12,35,30,11,3
Jake McCarthy,ARI,31,90,77,23,0
Chas McCormick,HOU,21,83,72,17,0
Andrew McCutchen,PIT,28,114,98,18,3
Scott McGough,ARI,2,1,1,0,0
Reese McGuire,BOS,26,73,63,17,2
Ryan McKenna,BAL,7,9,8,3,2
Zach McKinstry,DET,26,63,56,13,0
Ryan McMahon,COL,37,161,137,40,5
Jeff McNeil,NYM,35,140,125,31,1
Curtis Mead,TBR,26,94,87,19,1
Parker Meadows,DET,32,85,73,7,2
MJ Melendez,KCR,34,119,110,20,4
Danny Mendick,CHW,10,41,39,10,1
Joey Meneses,WSN,32,141,124,27,0
Whit Merrifield,PHI,19,64,59,14,2
Jackson Merrill,SDP,38,136,124,34,2
Matt Mervis,CHC,9,28,26,3,0
Jake Meyers,HOU,30,71,64,16,3
Drew Millas#,WSN,2,6,6,1,0
Owen Miller,MIL,7,12,12,1,0
José Miranda,MIN,24,80,75,22,2
Andruw Monasterio,MIL,6,13,11,1,0
Yoán Moncada#,CHW,11,44,39,11,0
Mickey Moniak,LAA,30,89,84,16,2
Elehuris Montero,COL,32,123,113,23,2
Dylan Moore,SEA,28,95,80,16,2
Christopher Morel,CHC,37,153,133,28,8
Gabriel Moreno,ARI,30,104,91,23,0
Ryan Mountcastle,BAL,33,142,130,36,6
Cedric Mullins,BAL,35,127,115,23,6
Max Muncy,LAD,34,141,117,30,9
Sean Murphy,ATL,1,3,3,0,0
Tom Murphy,SFG,13,38,34,4,1
Dane Myers,MIA,8,19,16,6,0
Omar Narváez,NYM,17,46,43,8,0
Bo Naylor,CLE,30,107,95,18,3
Josh Naylor,CLE,36,151,130,36,10
Zach Neto,LAA,37,138,129,32,3
Tyler Nevin,OAK,31,114,100,26,4
Kevin Newman,ARI,23,66,64,12,2
Tomás Nido,NYM,13,37,35,8,1
Brandon Nimmo,NYM,35,162,131,30,5
Ryan Noda,OAK,30,100,86,11,1
Lars Nootbaar,STL,24,101,87,16,3
Nasim Nuñez#,WSN,9,3,3,0,0
Ryan O'Hearn,BAL,25,89,79,23,5
Logan O'Hoppe,LAA,33,121,111,31,2
Tyler O'Neill,BOS,28,117,99,28,9
Shohei Ohtani,LAD,38,175,152,54,11
Edward Olivares,PIT,24,88,81,18,4
Matt Olson,ATL,34,147,125,25,3
Jonathan Ornelas,TEX,1,1,1,0,0
Rafael Ortega,CHW,10,10,8,0,0
Joey Ortiz,MIL,31,90,75,20,3
James Outman,LAD,30,104,92,15,3
Marcell Ozuna,ATL,34,144,127,40,12
Cristian Pache,PHI,10,23,17,2,0
Andy Pages,LAD,20,85,78,24,4
Pedro Pagés,STL,6,8,5,0,0
Richie Palacios,TBR,30,101,82,23,3
Isaac Paredes,TBR,35,150,130,39,8
Kyren Paris,LAA,1,1,1,0,0
Vinnie Pasquantino,KCR,37,153,129,33,5
Graham Pauley,SDP,13,32,32,4,2
Joc Pederson,ARI,33,107,86,26,4
Jeremy Peña,HOU,37,151,141,47,4
Geraldo Perdomo#,ARI,7,27,24,6,0
Jhonny Pereda,MIA,3,5,5,0,0
Salvador Perez,KCR,37,147,134,44,8
Wenceel Pérez#,DET,21,71,63,18,3
Blake Perkins#,MIL,29,121,105,26,4
Jace Peterson,ARI,14,26,22,1,0
Tommy Pham,CHW,12,50,48,15,2
Kevin Pillar,TOT,23,49,42,9,3
Kevin Pillar,CHW,17,32,25,4,1
Kevin Pillar,LAA,6,17,17,5,2
René Pinto,TBR,19,49,42,9,2
Jorge Polanco#,SEA,38,158,137,25,5
Jurickson Profar#,SDP,40,154,134,44,6
Ceddanne Rafaela,BOS,37,136,127,27,3
Cal Raleigh#,SEA,34,131,115,24,9
Luke Raley,SEA,28,73,70,17,1
Harold Ramírez,TBR,34,131,127,37,1
José Ramírez#,CLE,37,163,151,36,8
Bryan Ramos,CHW,6,20,18,7,0
Heliot Ramos,SFG,2,5,5,1,0
J.T. Realmuto,PHI,32,136,125,33,5
Jakson Reetz,SFG,3,7,7,1,1
Rob Refsnyder,BOS,14,46,37,13,1
Zach Remillard,CHW,2,5,5,1,0
Anthony Rendon,LAA,19,83,75,20,0
Hunter Renfroe,KCR,34,113,103,15,3
Luis Rengifo#,LAA,28,99,91,30,2
Pablo Reyes,BOS,21,64,60,11,0
Bryan Reynolds#,PIT,38,168,146,35,4
Austin Riley,ATL,34,153,139,34,3
Leo Rivas#,SEA,3,6,6,2,0
Emmanuel Rivera,MIA,28,84,74,15,0
Anthony Rizzo,NYY,38,159,143,37,6
Luis Robert Jr.,CHW,7,29,28,6,2
David Robertson,TEX,1,0,0,0,0
Víctor Robles,WSN,4,5,2,0,0
Brayan Rocchio#,CLE,34,124,107,23,0
Brendan Rodgers,COL,33,123,115,28,1
Julio Rodríguez,SEA,38,161,149,39,1
Jake Rogers,DET,24,81,75,14,2
Johan Rojas,PHI,31,110,102,22,1
Josh Rojas,SEA,29,105,92,32,3
Miguel Rojas,LAD,25,64,58,15,2
JoJo Romero,STL,1,0,0,0,0
Brent Rooker,OAK,27,108,94,26,9
Ben Rortvedt,TBR,26,74,63,21,0
Amed Rosario,TBR,33,126,123,37,2
Eddie Rosario,WSN,28,93,84,12,3
Eguy Rosario,SDP,28,52,48,12,3
Esteury Ruiz,OAK,21,57,48,11,2
Keibert Ruiz#,WSN,19,81,76,11,2
Adley Rutschman#,BAL,35,158,148,47,5
Blake Sabol,SFG,5,17,15,6,0
Gary Sánchez,MIL,23,67,60,13,5
Jesús Sánchez,MIA,33,106,98,23,2
Miguel Sanó,LAA,21,71,61,16,1
Carlos Santana#,MIN,34,134,120,23,4
Anthony Santander#,BAL,35,147,130,28,6
Nolan Schanuel,LAA,33,131,114,27,3
Davis Schneider,TOR,30,94,80,22,3
Max Schuemann,OAK,20,46,37,8,1
Kyle Schwarber,PHI,38,176,147,31,9
Victor Scott II,STL,20,65,59,5,0
Corey Seager,TEX,35,155,139,32,3
Marcus Semien,TEX,39,180,168,48,7
Nick Senzel,WSN,19,80,70,15,5
Brian Serven,TOR,7,10,8,0,0
Gavin Sheets,CHW,33,129,109,28,3
Austin Shenton,TBR,15,42,36,6,1
Braden Shewmake,CHW,24,60,58,8,1
Zack Short,TOT,12,19,16,1,0
Zack Short,NYM,10,12,9,1,0
Zack Short,BOS,2,7,7,0,0
Michael Siani,STL,32,64,53,12,0
Jon Singleton,HOU,25,82,71,17,4
Jose Siri,TBR,32,108,94,16,2
Austin Slater,SFG,24,48,38,5,0
Dominic Smith,BOS,5,21,20,4,0
Josh Smith,TEX,38,132,112,33,2
Kevin Smith,NYY,1,0,0,0,0
Pavin Smith,ARI,13,30,28,6,1
Will Smith,LAD,32,142,124,41,4
Tyler Soderstrom,OAK,1,5,5,2,1
Donovan Solano,SDP,2,8,7,3,0
Jorge Soler,SFG,34,136,119,24,5
Edmundo Sosa,PHI,13,38,33,9,1
Lenyn Sosa,CHW,12,40,38,5,0
Juan Soto,NYY,39,178,147,49,9
George Springer,TOR,35,156,141,29,3
Jacob Stallings,COL,15,47,39,13,2
Giancarlo Stanton,NYY,34,137,127,28,8
Spencer Steer,CIN,37,155,131,31,4
Tyler Stephenson,CIN,28,94,81,18,4
DJ Stewart,NYM,28,85,65,12,4
Trevor Story,BOS,8,34,31,7,0
Bryson Stott,PHI,34,128,108,27,3
Garrett Stubbs,PHI,8,26,22,3,0
Albert Suárez,BAL,1,0,0,0,0
Eugenio Suárez,ARI,37,154,137,31,3
Brett Sullivan,SDP,3,2,2,0,0
Jack Suwinski,PIT,37,120,107,19,2
Seiya Suzuki,CHC,15,68,59,18,3
Dansby Swanson,CHC,37,144,129,27,4
Fernando Tatis Jr.,SDP,40,177,157,40,7
Mike Tauchman,CHC,34,127,104,28,3
Leody Taveras#,TEX,36,136,122,31,2
Chris Taylor,LAD,25,68,56,4,0
Michael A. Taylor,PIT,30,97,86,19,0
Samad Taylor,SEA,3,5,5,2,0
Tyrone Taylor,NYM,26,78,73,21,2
Rowdy Tellez,PIT,36,106,95,19,1
Matt Thaiss,LAA,11,32,27,6,0
Alek Thomas,ARI,4,14,14,3,1
Lane Thomas,WSN,22,96,87,16,2
Bubba Thompson,CIN,17,18,18,2,0
Michael Toglia#,COL,15,49,47,5,4
Spencer Torkelson,DET,35,152,136,30,0
Abraham Toro#,OAK,36,134,123,36,3
Gleyber Torres,NYY,39,164,144,31,1
Ezequiel Tovar,COL,36,157,145,39,3
Taylor Trammell,TOT,10,8,7,1,0
Taylor Trammell,LAD,5,6,6,0,0
Taylor Trammell,NYY,5,2,1,1,0
Alan Trejo,COL,12,25,25,2,0
Jose Trevino,NYY,22,72,65,18,2
Jared Triolo,PIT,34,136,120,25,1
Chadwick Tromp,ATL,13,34,32,7,0
Mike Trout,LAA,29,126,109,24,10
Cole Tucker#,LAA,9,29,24,5,0
Kyle Tucker,HOU,37,165,138,37,11
Brice Turang,MIL,35,135,121,38,2
Justin Turner,TOR,34,131,115,31,4
Trea Turner,PHI,33,148,137,47,2
José Ureña,TEX,1,0,0,0,0
Luis Urías,SEA,23,60,51,9,3
Ramón Urías,BAL,20,55,53,10,1
Gio Urshela,DET,18,58,57,17,0
Enmanuel Valdez,BOS,28,98,90,14,2
Ildemaro Vargas#,WSN,21,68,59,19,0
Daulton Varsho,TOR,35,125,110,25,6
Andrew Vaughn,CHW,36,146,134,26,0
Christian Vázquez,MIN,22,76,70,14,1
Nelson Velázquez,KCR,32,113,103,21,2
Alex Verdugo,NYY,36,150,128,33,5
Mark Vientos,NYM,3,7,7,3,1
Matt Vierling,DET,33,108,103,29,3
Ryan Vilade,DET,2,6,5,2,0
Daniel Vogelbach,TOR,14,34,29,3,0
Anthony Volpe,NYY,38,171,148,38,5
LaMonte Wade Jr.,SFG,37,110,85,29,1
Tyler Wade,SDP,31,77,66,17,0
Christian Walker,ARI,38,164,136,38,7
Jordan Walker,STL,20,67,58,9,0
Forrest Wall,ATL,2,1,1,0,0
Matt Wallner,MIN,13,33,25,2,1
Jared Walsh,TEX,17,60,53,12,1
Taylor Ward,LAA,37,157,147,39,7
Jacob Webb,BAL,1,0,0,0,0
Austin Wells,NYY,23,78,63,12,1
Joey Wendle,NYM,14,33,32,8,0
Davis Wendzel,TEX,15,24,24,2,1
Jordan Westburg,BAL,34,137,127,36,6
Owen White,TEX,1,0,0,0,0
Joey Wiemer,MIL,16,24,23,4,0
Alika Williams,PIT,15,51,46,11,0
Luke Williams,ATL,4,1,1,0,0
Josh Winckowski,BOS,1,0,0,0,0
Jesse Winker,WSN,35,147,123,31,4
Masyn Winn,STL,34,117,102,27,0
Patrick Wisdom,CHC,10,29,24,6,1
Bobby Witt Jr.,KCR,39,170,151,48,5
Connor Wong,BOS,24,87,82,29,5
Mike Yastrzemski,SFG,31,92,84,19,3
Kirby Yates,TEX,2,0,0,0,0
Christian Yelich,MIL,13,55,48,16,5
Masataka Yoshida,BOS,24,89,80,22,2
Jacob Young,WSN,28,96,83,25,0
Seby Zavala,SEA,10,27,27,5,0
LgAvgper600PA,,167,600,535,128,16
